Datetime,Lat.,Lon.,Total_SO2,OMTO3_O3,DateforKepler
20130621T053611442Z,31.17,121.12,0.262,291.375,2013/06/21 05:36:11.442
20130621T053618930Z,31.61,121.04,0.128,290.944,2013/06/21 05:36:18.930
20130621T053611442Z,31.01,122.33,-0.031,292.072,2013/06/21 05:36:11.442
20130621T053618930Z,31.45,122.26,0.059000000000000004,290.053,2013/06/21 05:36:18.930
20130622T051653462Z,30.47,121.12,0.037000000000000005,297.811,2013/06/22 05:16:53.462
20130622T051700950Z,30.91,121.01,0.064,301.858,2013/06/22 05:17:00.950
20130622T051708439Z,31.35,120.91,-0.044000000000000004,299.289,2013/06/22 05:17:08.439
20130622T051715927Z,31.79,120.81,-0.17300000000000001,296.41200000000003,2013/06/22 05:17:15.927
20130622T051653462Z,30.48,121.77,-0.032,296.54400000000004,2013/06/22 05:16:53.462
20130622T051700950Z,30.92,121.67,-0.008,298.526,2013/06/22 05:17:00.950
20130622T051708439Z,31.36,121.57,0.271,296.18,2013/06/22 05:17:08.439
20130622T051715927Z,31.8,121.47,-0.079,294.82,2013/06/22 05:17:15.927
20130622T051700950Z,30.92,122.38,0.05,297.04,2013/06/22 05:17:00.950
20130622T051708439Z,31.36,122.28,0.226,295.914,2013/06/22 05:17:08.439
20130624T043918403Z,31.0,122.21,-0.044000000000000004,308.183,2013/06/24 04:39:18.403
20130624T043925891Z,31.43,122.07,0.053,307.075,2013/06/24 04:39:25.891
20130624T043933380Z,31.87,121.92,-0.10099999999999999,310.795,2013/06/24 04:39:33.380
20130624T043918403Z,30.65,121.0,0.01,305.374,2013/06/24 04:39:18.403
20130624T043925891Z,31.08,120.85,0.08900000000000001,309.95,2013/06/24 04:39:25.891
20130624T043933380Z,31.52,120.7,0.003,311.08,2013/06/24 04:39:33.380
20130624T043910915Z,30.4,121.76,0.446,300.62,2013/06/24 04:39:10.915
20130624T043918403Z,30.84,121.62,0.055999999999999994,314.298,2013/06/24 04:39:18.403
20130624T043925891Z,31.27,121.47,-0.061,314.525,2013/06/24 04:39:25.891
20130624T043933380Z,31.7,121.33,0.011000000000000001,313.493,2013/06/24 04:39:33.380
20130625T042038879Z,30.41,121.37,-0.07,278.258,2013/06/25 04:20:38.879
20130625T042046368Z,30.84,121.2,0.332,284.897,2013/06/25 04:20:46.368
20130625T042053856Z,31.26,121.04,-0.27,290.76,2013/06/25 04:20:53.856
20130625T042101344Z,31.69,120.87,-0.5479999999999999,273.589,2013/06/25 04:21:01.344
